UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
259169	paperref:138526	paperref:140158	|
241325	paperref:138417	paperref:138415	|	exists=EXIST:P=0.0,1.0
257562	paperref:135726	paperref:136254	|
243984	paperref:141084	paperref:138807	|
252442	paperref:140944	paperref:140945	|
232104	paperref:139449	paperref:139451	|	exists=EXIST:P=0.0,1.0
264781	paperref:137930	paperref:141113	|	exists=NOTEXIST:P=1.0,0.0
239596	paperref:140896	paperref:140174	|	exists=NOTEXIST:P=1.0,0.0
245904	paperref:136320	paperref:136563	|
258745	paperref:140159	paperref:139539	|	exists=NOTEXIST:P=1.0,0.0
241381	paperref:136948	paperref:137039	|
263115	paperref:138734	paperref:140160	|	exists=NOTEXIST:P=1.0,0.0
258472	paperref:138889	paperref:136921	|
249238	paperref:140014	paperref:140806	|
259986	paperref:139830	paperref:136495	|
270458	paperref:135644	paperref:138304	|
265275	paperref:138130	paperref:139426	|
256876	paperref:140381	paperref:139380	|
237572	paperref:137569	paperref:140921	|	exists=NOTEXIST:P=1.0,0.0
252268	paperref:140555	paperref:136367	|
247025	paperref:138570	paperref:136254	|	exists=NOTEXIST:P=1.0,0.0
242865	paperref:138925	paperref:138512	|	exists=NOTEXIST:P=1.0,0.0
265642	paperref:137489	paperref:139421	|	exists=NOTEXIST:P=1.0,0.0
254884	paperref:136623	paperref:137177	|
245194	paperref:135759	paperref:138862	|	exists=NOTEXIST:P=1.0,0.0
236832	paperref:140121	paperref:138049	|
236627	paperref:139227	paperref:138540	|	exists=NOTEXIST:P=1.0,0.0
231442	paperref:138931	paperref:138811	|	exists=NOTEXIST:P=1.0,0.0
246383	paperref:139859	paperref:136807	|
242224	paperref:135853	paperref:141113	|
231209	paperref:138182	paperref:140599	|
252811	paperref:138564	paperref:139351	|	exists=NOTEXIST:P=1.0,0.0
249294	paperref:137192	paperref:135467	|
263196	paperref:139483	paperref:135479	|	exists=NOTEXIST:P=1.0,0.0
250584	paperref:137157	paperref:136761	|
244108	paperref:138575	paperref:140705	|
235669	paperref:135666	paperref:139094	|
267673	paperref:139165	paperref:136888	|	exists=NOTEXIST:P=1.0,0.0
256919	paperref:135577	paperref:137074	|
257973	paperref:136922	paperref:140659	|	exists=NOTEXIST:P=1.0,0.0
242578	paperref:138788	paperref:139162	|
233385	paperref:141363	paperref:141362	|	exists=EXIST:P=0.0,1.0
253187	paperref:137376	paperref:137375	|
243321	paperref:138345	paperref:136922	|	exists=NOTEXIST:P=1.0,0.0
249281	paperref:139531	paperref:140885	|	exists=NOTEXIST:P=1.0,0.0
240690	paperref:137797	paperref:140660	|
240069	paperref:141047	paperref:138705	|
249398	paperref:135554	paperref:139946	|	exists=NOTEXIST:P=1.0,0.0
256482	paperref:141179	paperref:137879	|
261193	paperref:139106	paperref:140160	|
243395	paperref:137551	paperref:138345	|
256485	paperref:135579	paperref:137074	|
242014	paperref:135985	paperref:139692	|	exists=NOTEXIST:P=1.0,0.0
231826	paperref:138189	paperref:138191	|	exists=EXIST:P=0.0,1.0
236873	paperref:135599	paperref:140121	|	exists=NOTEXIST:P=1.0,0.0
245938	paperref:136422	paperref:137364	|
244205	paperref:138638	paperref:138635	|	exists=EXIST:P=0.0,1.0
267306	paperref:137642	paperref:139283	|
261922	paperref:138600	paperref:136643	|
242157	paperref:135853	paperref:136062	|	exists=NOTEXIST:P=1.0,0.0
242476	paperref:137455	paperref:136089	|
231799	paperref:141307	paperref:138225	|
230527	paperref:135725	paperref:139705	|	exists=NOTEXIST:P=1.0,0.0
249641	paperref:138354	paperref:138453	|
243445	paperref:140062	paperref:136749	|	exists=NOTEXIST:P=1.0,0.0
265818	paperref:137803	paperref:137754	|
239206	paperref:136643	paperref:137587	|
249340	paperref:140807	paperref:141110	|	exists=NOTEXIST:P=1.0,0.0
256843	paperref:139572	paperref:139314	|	exists=NOTEXIST:P=1.0,0.0
256278	paperref:135878	paperref:135617	|
254048	paperref:137180	paperref:135539	|	exists=NOTEXIST:P=1.0,0.0
244369	paperref:140338	paperref:137087	|
258879	paperref:140159	paperref:138158	|
251963	paperref:139320	paperref:137396	|	exists=NOTEXIST:P=1.0,0.0
241652	paperref:136671	paperref:139504	|	exists=NOTEXIST:P=1.0,0.0
262630	paperref:139042	paperref:140600	|	exists=NOTEXIST:P=1.0,0.0
246252	paperref:140062	paperref:140602	|
244227	paperref:135599	paperref:136032	|
269216	paperref:140602	paperref:136181	|
248538	paperref:136526	paperref:140557	|	exists=NOTEXIST:P=1.0,0.0
260926	paperref:135979	paperref:137384	|	exists=NOTEXIST:P=1.0,0.0
255237	paperref:138453	paperref:135764	|	exists=NOTEXIST:P=1.0,0.0
254296	paperref:140464	paperref:140465	|	exists=EXIST:P=0.0,1.0
233391	paperref:138354	paperref:141078	|
270305	paperref:135746	paperref:138265	|	exists=NOTEXIST:P=1.0,0.0
237153	paperref:139953	paperref:140796	|	exists=NOTEXIST:P=1.0,0.0
268947	paperref:140001	paperref:136182	|	exists=NOTEXIST:P=1.0,0.0
234229	paperref:138647	paperref:140841	|
265173	paperref:140404	paperref:139913	|
241898	paperref:141157	paperref:137981	|
269878	paperref:141135	paperref:138629	|	exists=NOTEXIST:P=1.0,0.0
244480	paperref:137959	paperref:137685	|
239221	paperref:135726	paperref:137587	|
262128	paperref:139541	paperref:139903	|
245742	paperref:136484	paperref:140322	|	exists=NOTEXIST:P=1.0,0.0
240791	paperref:136675	paperref:140978	|
267341	paperref:140847	paperref:138599	|
232214	paperref:139708	paperref:136725	|
266408	paperref:136900	paperref:140825	|
267691	paperref:138196	paperref:139165	|
261629	paperref:136388	paperref:136389	|	exists=EXIST:P=0.0,1.0
241196	paperref:137710	paperref:140410	|
254468	paperref:136591	paperref:138266	|	exists=NOTEXIST:P=1.0,0.0
263823	paperref:137959	paperref:140338	|	exists=NOTEXIST:P=1.0,0.0
262396	paperref:138033	paperref:138031	|
241601	paperref:137711	paperref:136408	|
242275	paperref:138563	paperref:137838	|
241611	paperref:137711	paperref:140861	|
239821	paperref:135962	paperref:137584	|
254901	paperref:136141	paperref:135997	|
258857	paperref:140159	paperref:139784	|	exists=NOTEXIST:P=1.0,0.0
233160	paperref:140442	paperref:140667	|	exists=NOTEXIST:P=1.0,0.0
255754	paperref:138767	paperref:138770	|
271103	paperref:141230	paperref:141232	|	exists=EXIST:P=0.0,1.0
263262	paperref:137745	paperref:139533	|
240579	paperref:137994	paperref:136196	|	exists=NOTEXIST:P=1.0,0.0
263062	paperref:140696	paperref:140160	|	exists=NOTEXIST:P=1.0,0.0
258485	paperref:137332	paperref:138889	|	exists=NOTEXIST:P=1.0,0.0
235718	paperref:139094	paperref:139227	|
268650	paperref:139560	paperref:141045	|
250338	paperref:135451	paperref:140745	|	exists=NOTEXIST:P=1.0,0.0
235722	paperref:139094	paperref:140260	|
263793	paperref:135617	paperref:138128	|
246418	paperref:140992	paperref:140158	|	exists=NOTEXIST:P=1.0,0.0
249309	paperref:141151	paperref:139481	|	exists=NOTEXIST:P=1.0,0.0
260564	paperref:138995	paperref:138996	|
242198	paperref:135853	paperref:136948	|
235694	paperref:138627	paperref:139094	|	exists=NOTEXIST:P=1.0,0.0
237714	paperref:137910	paperref:137510	|
251529	paperref:138683	paperref:140301	|
240307	paperref:139222	paperref:137419	|
258268	paperref:135761	paperref:135798	|
252861	paperref:137455	paperref:137802	|
250035	paperref:135452	paperref:140499	|
233743	paperref:137055	paperref:137096	|	exists=NOTEXIST:P=1.0,0.0
270169	paperref:138323	paperref:137771	|
269696	paperref:139869	paperref:139870	|	exists=EXIST:P=0.0,1.0
254533	paperref:136202	paperref:136204	|
267233	paperref:139165	paperref:140844	|
234970	paperref:140271	paperref:136180	|	exists=NOTEXIST:P=1.0,0.0
259343	paperref:136346	paperref:140539	|
268675	paperref:140000	paperref:137420	|
256094	paperref:138086	paperref:138129	|	exists=NOTEXIST:P=1.0,0.0
250831	paperref:136074	paperref:136495	|
255453	paperref:139518	paperref:137441	|	exists=NOTEXIST:P=1.0,0.0
259918	paperref:139180	paperref:139992	|	exists=NOTEXIST:P=1.0,0.0
258897	paperref:137656	paperref:138498	|
269889	paperref:141097	paperref:136559	|
234389	paperref:138339	paperref:136211	|
261087	paperref:141100	paperref:136280	|	exists=NOTEXIST:P=1.0,0.0
256462	paperref:139312	paperref:139311	|	exists=EXIST:P=0.0,1.0
253007	paperref:136948	paperref:137954	|	exists=NOTEXIST:P=1.0,0.0
239695	paperref:136812	paperref:137827	|
238253	paperref:136535	paperref:140599	|	exists=NOTEXIST:P=1.0,0.0
230658	paperref:136063	paperref:139686	|
255571	paperref:136067	paperref:135556	|	exists=NOTEXIST:P=1.0,0.0
264167	paperref:136421	paperref:136859	|	exists=NOTEXIST:P=1.0,0.0
233718	paperref:138335	paperref:138337	|	exists=EXIST:P=0.0,1.0
255892	paperref:139396	paperref:140529	|	exists=NOTEXIST:P=1.0,0.0
245935	paperref:140292	paperref:137364	|	exists=NOTEXIST:P=1.0,0.0
266070	paperref:137930	paperref:135997	|
262955	paperref:137746	paperref:137537	|	exists=NOTEXIST:P=1.0,0.0
250487	paperref:139505	paperref:139504	|
236768	paperref:141292	paperref:139738	|
267813	paperref:139547	paperref:139545	|	exists=EXIST:P=0.0,1.0
270827	paperref:138261	paperref:138262	|	exists=EXIST:P=0.0,1.0
260005	paperref:139360	paperref:136495	|	exists=NOTEXIST:P=1.0,0.0
258038	paperref:140386	paperref:136922	|
262947	paperref:139528	paperref:135559	|	exists=NOTEXIST:P=1.0,0.0
256695	paperref:135791	paperref:137419	|	exists=NOTEXIST:P=1.0,0.0
236809	paperref:136898	paperref:139225	|	exists=NOTEXIST:P=1.0,0.0
236961	paperref:136531	paperref:136957	|
252217	paperref:137937	paperref:138016	|	exists=NOTEXIST:P=1.0,0.0
239706	paperref:136812	paperref:138356	|	exists=NOTEXIST:P=1.0,0.0
240549	paperref:136014	paperref:136681	|	exists=NOTEXIST:P=1.0,0.0
266362	paperref:136784	paperref:140479	|	exists=NOTEXIST:P=1.0,0.0
266199	paperref:139379	paperref:138119	|
236686	paperref:139227	paperref:139690	|	exists=NOTEXIST:P=1.0,0.0
264822	paperref:137303	paperref:136429	|
262667	paperref:136643	paperref:139549	|	exists=NOTEXIST:P=1.0,0.0
240320	paperref:140606	paperref:139222	|	exists=NOTEXIST:P=1.0,0.0
235054	paperref:137358	paperref:140618	|	exists=NOTEXIST:P=1.0,0.0
259284	paperref:140263	paperref:139482	|
259800	paperref:137107	paperref:140260	|
267727	paperref:139830	paperref:136922	|
267558	paperref:135493	paperref:135495	|	exists=EXIST:P=0.0,1.0
256743	paperref:136062	paperref:137331	|	exists=NOTEXIST:P=1.0,0.0
263942	paperref:137958	paperref:137211	|
244643	paperref:137088	paperref:137332	|
234670	paperref:137135	paperref:137418	|
247014	paperref:138570	paperref:138016	|
257012	paperref:135576	paperref:135574	|
241916	paperref:135709	paperref:138270	|	exists=NOTEXIST:P=1.0,0.0
254739	paperref:139040	paperref:141160	|	exists=NOTEXIST:P=1.0,0.0
265389	paperref:137802	paperref:139212	|	exists=NOTEXIST:P=1.0,0.0
264975	paperref:141111	paperref:138315	|	exists=NOTEXIST:P=1.0,0.0
243704	paperref:137606	paperref:139816	|	exists=NOTEXIST:P=1.0,0.0
254972	paperref:137222	paperref:138192	|
248230	paperref:138130	paperref:140999	|
264547	paperref:135601	paperref:136101	|	exists=NOTEXIST:P=1.0,0.0
264384	paperref:139649	paperref:140515	|
260727	paperref:137205	paperref:137960	|
240999	paperref:137792	paperref:137441	|
251343	paperref:137669	paperref:137673	|	exists=EXIST:P=0.0,1.0
260631	paperref:136848	paperref:136160	|	exists=NOTEXIST:P=1.0,0.0
256353	paperref:135467	paperref:137421	|
266873	paperref:136903	paperref:136037	|
241971	paperref:139601	paperref:138453	|	exists=NOTEXIST:P=1.0,0.0
251909	paperref:135564	paperref:139350	|	exists=NOTEXIST:P=1.0,0.0
250867	paperref:135846	paperref:140382	|	exists=NOTEXIST:P=1.0,0.0
231620	paperref:139681	paperref:136896	|	exists=NOTEXIST:P=1.0,0.0
252583	paperref:138748	paperref:140030	|
266167	paperref:139992	paperref:139994	|	exists=EXIST:P=0.0,1.0
250461	paperref:138993	paperref:137634	|
237286	paperref:135593	paperref:139529	|
236605	paperref:138345	paperref:139227	|
252143	paperref:138358	paperref:135600	|
252502	paperref:136256	paperref:138014	|	exists=NOTEXIST:P=1.0,0.0
254708	paperref:138168	paperref:137404	|	exists=NOTEXIST:P=1.0,0.0
256218	paperref:136063	paperref:135790	|
247584	paperref:139237	paperref:140290	|	exists=NOTEXIST:P=1.0,0.0
234783	paperref:135830	paperref:140323	|	exists=NOTEXIST:P=1.0,0.0
261092	paperref:136280	paperref:136254	|
233550	paperref:135466	paperref:137020	|
264956	paperref:139414	paperref:138031	|
237946	paperref:136536	paperref:140709	|
269314	paperref:140753	paperref:139625	|	exists=NOTEXIST:P=1.0,0.0
233640	paperref:135508	paperref:135505	|
246551	paperref:137180	paperref:137467	|	exists=NOTEXIST:P=1.0,0.0
269844	paperref:138520	paperref:138519	|	exists=EXIST:P=0.0,1.0
268771	paperref:141047	paperref:138835	|
244601	paperref:137088	paperref:139358	|
231079	paperref:135655	paperref:137021	|	exists=NOTEXIST:P=1.0,0.0
268970	paperref:136037	paperref:140576	|	exists=NOTEXIST:P=1.0,0.0
248483	paperref:140804	paperref:138835	|
249334	paperref:140807	paperref:137746	|
261024	paperref:136281	paperref:136174	|
252871	paperref:137501	paperref:136637	|	exists=NOTEXIST:P=1.0,0.0
239156	paperref:140042	paperref:136602	|
240861	paperref:137037	paperref:139338	|
256305	paperref:138009	paperref:138037	|	exists=NOTEXIST:P=1.0,0.0
251162	paperref:138449	paperref:138448	|	exists=EXIST:P=0.0,1.0
242343	paperref:137791	paperref:138564	|	exists=NOTEXIST:P=1.0,0.0
249481	paperref:138630	paperref:138398	|	exists=NOTEXIST:P=1.0,0.0
239048	paperref:136534	paperref:136049	|
253812	paperref:137124	paperref:139029	|
258299	paperref:139035	paperref:140529	|
270612	paperref:137123	paperref:137124	|	exists=EXIST:P=0.0,1.0
239317	paperref:138938	paperref:140224	|
248828	paperref:137451	paperref:136529	|	exists=NOTEXIST:P=1.0,0.0
248734	paperref:138793	paperref:136833	|	exists=NOTEXIST:P=1.0,0.0
248726	paperref:138793	paperref:138363	|
253214	paperref:139730	paperref:140180	|	exists=NOTEXIST:P=1.0,0.0
254716	paperref:136712	paperref:141160	|	exists=NOTEXIST:P=1.0,0.0
237722	paperref:137910	paperref:140498	|	exists=NOTEXIST:P=1.0,0.0
262832	paperref:141199	paperref:136383	|	exists=NOTEXIST:P=1.0,0.0
255526	paperref:136067	paperref:137331	|	exists=NOTEXIST:P=1.0,0.0
252613	paperref:140941	paperref:137745	|	exists=NOTEXIST:P=1.0,0.0
253908	paperref:138459	paperref:136422	|
243672	paperref:140707	paperref:137866	|	exists=NOTEXIST:P=1.0,0.0
258056	paperref:140386	paperref:137331	|
232642	paperref:138429	paperref:140706	|	exists=NOTEXIST:P=1.0,0.0
270849	paperref:138322	paperref:138486	|
249698	paperref:135676	paperref:135678	|
242780	paperref:138343	paperref:140823	|
268704	paperref:139649	paperref:141128	|
240292	paperref:139222	paperref:138662	|	exists=NOTEXIST:P=1.0,0.0
256370	paperref:135467	paperref:137418	|
247018	paperref:138570	paperref:138775	|	exists=NOTEXIST:P=1.0,0.0
262687	paperref:136643	paperref:139416	|
238825	paperref:138583	paperref:137890	|	exists=NOTEXIST:P=1.0,0.0
270605	paperref:138833	paperref:138831	|	exists=EXIST:P=0.0,1.0
261149	paperref:139107	paperref:139360	|
261517	paperref:136935	paperref:141030	|
232456	paperref:138075	paperref:137020	|	exists=NOTEXIST:P=1.0,0.0
232152	paperref:138226	paperref:139130	|
257736	paperref:135762	paperref:139679	|	exists=NOTEXIST:P=1.0,0.0
261427	paperref:138828	paperref:138829	|
259723	paperref:139920	paperref:140579	|
253379	paperref:138875	paperref:137823	|
268035	paperref:135552	paperref:141134	|	exists=NOTEXIST:P=1.0,0.0
234905	paperref:140803	paperref:137475	|	exists=NOTEXIST:P=1.0,0.0
242362	paperref:137791	paperref:137826	|	exists=NOTEXIST:P=1.0,0.0
256053	paperref:136066	paperref:139533	|	exists=NOTEXIST:P=1.0,0.0
259087	paperref:138664	paperref:140000	|	exists=NOTEXIST:P=1.0,0.0
253590	paperref:136299	paperref:139181	|
255449	paperref:137736	paperref:137735	|
245969	paperref:138642	paperref:136422	|
254035	paperref:137180	paperref:136761	|
249588	paperref:138354	paperref:137151	|
256891	paperref:138547	paperref:139908	|	exists=NOTEXIST:P=1.0,0.0
234006	paperref:135503	paperref:138055	|
