UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
627263	paperref:506443	paperref:505859	|	exists=NOTEXIST:P=1.0,0.0
599029	paperref:506549	paperref:506785	|
585396	paperref:506553	paperref:510960	|	exists=NOTEXIST:P=1.0,0.0
614048	paperref:509623	paperref:505994	|	exists=NOTEXIST:P=1.0,0.0
609096	paperref:506393	paperref:509211	|	exists=NOTEXIST:P=1.0,0.0
629488	paperref:510615	paperref:507968	|	exists=NOTEXIST:P=1.0,0.0
608110	paperref:508480	paperref:506435	|	exists=NOTEXIST:P=1.0,0.0
605811	paperref:506545	paperref:510051	|	exists=NOTEXIST:P=1.0,0.0
626569	paperref:506595	paperref:509617	|	exists=NOTEXIST:P=1.0,0.0
596289	paperref:511168	paperref:507751	|	exists=NOTEXIST:P=1.0,0.0
632266	paperref:510344	paperref:507090	|	exists=NOTEXIST:P=1.0,0.0
596699	paperref:507360	paperref:509455	|
613762	paperref:507192	paperref:507545	|	exists=NOTEXIST:P=1.0,0.0
606045	paperref:509667	paperref:506386	|	exists=NOTEXIST:P=1.0,0.0
605918	paperref:506394	paperref:506267	|	exists=NOTEXIST:P=1.0,0.0
597401	paperref:509662	paperref:508083	|	exists=NOTEXIST:P=1.0,0.0
617966	paperref:506716	paperref:506389	|	exists=NOTEXIST:P=1.0,0.0
623758	paperref:511184	paperref:507981	|	exists=NOTEXIST:P=1.0,0.0
587894	paperref:506918	paperref:508170	|	exists=NOTEXIST:P=1.0,0.0
632160	paperref:509571	paperref:509572	|	exists=EXIST:P=0.0,1.0
607605	paperref:505859	paperref:506434	|	exists=NOTEXIST:P=1.0,0.0
588328	paperref:511155	paperref:510399	|	exists=NOTEXIST:P=1.0,0.0
603749	paperref:510036	paperref:509289	|	exists=NOTEXIST:P=1.0,0.0
624716	paperref:507190	paperref:509619	|
584061	paperref:508491	paperref:508812	|	exists=NOTEXIST:P=1.0,0.0
602878	paperref:506335	paperref:509637	|
600624	paperref:509636	paperref:509979	|	exists=NOTEXIST:P=1.0,0.0
623059	paperref:509419	paperref:510482	|	exists=NOTEXIST:P=1.0,0.0
607796	paperref:509636	paperref:506386	|	exists=NOTEXIST:P=1.0,0.0
624625	paperref:506729	paperref:507191	|	exists=NOTEXIST:P=1.0,0.0
616806	paperref:510687	paperref:506031	|
601905	paperref:509213	paperref:509090	|	exists=NOTEXIST:P=1.0,0.0
598370	paperref:509623	paperref:506783	|	exists=NOTEXIST:P=1.0,0.0
601096	paperref:507192	paperref:506339	|
589440	paperref:509312	paperref:508988	|	exists=NOTEXIST:P=1.0,0.0
597766	paperref:508082	paperref:508084	|	exists=EXIST:P=0.0,1.0
603647	paperref:506748	paperref:509093	|	exists=NOTEXIST:P=1.0,0.0
590708	paperref:510595	paperref:506437	|	exists=NOTEXIST:P=1.0,0.0
591367	paperref:510594	paperref:509618	|
623045	paperref:510264	paperref:511109	|	exists=NOTEXIST:P=1.0,0.0
620819	paperref:506730	paperref:506442	|	exists=NOTEXIST:P=1.0,0.0
613912	paperref:510671	paperref:507497	|
590215	paperref:507258	paperref:506047	|
626560	paperref:507074	paperref:506839	|	exists=NOTEXIST:P=1.0,0.0
612349	paperref:509689	paperref:509960	|	exists=NOTEXIST:P=1.0,0.0
608232	paperref:506385	paperref:506217	|
605888	paperref:507896	paperref:506961	|
630315	paperref:509790	paperref:506795	|	exists=NOTEXIST:P=1.0,0.0
589759	paperref:506398	paperref:509029	|
584538	paperref:508490	paperref:510614	|	exists=NOTEXIST:P=1.0,0.0
629818	paperref:509048	paperref:509046	|	exists=EXIST:P=0.0,1.0
615500	paperref:506391	paperref:509031	|	exists=NOTEXIST:P=1.0,0.0
594148	paperref:510127	paperref:510666	|	exists=NOTEXIST:P=1.0,0.0
615379	paperref:508795	paperref:510353	|
616607	paperref:507277	paperref:509640	|	exists=NOTEXIST:P=1.0,0.0
609451	paperref:509210	paperref:510344	|	exists=NOTEXIST:P=1.0,0.0
592948	paperref:509286	paperref:506926	|	exists=NOTEXIST:P=1.0,0.0
628209	paperref:509633	paperref:510326	|	exists=NOTEXIST:P=1.0,0.0
592150	paperref:506340	paperref:509694	|	exists=NOTEXIST:P=1.0,0.0
602281	paperref:509662	paperref:507426	|	exists=NOTEXIST:P=1.0,0.0
592429	paperref:510591	paperref:510334	|
593150	paperref:507657	paperref:510427	|	exists=NOTEXIST:P=1.0,0.0
625788	paperref:510797	paperref:510270	|	exists=NOTEXIST:P=1.0,0.0
613419	paperref:509671	paperref:509527	|	exists=NOTEXIST:P=1.0,0.0
592996	paperref:506926	paperref:509280	|	exists=NOTEXIST:P=1.0,0.0
617610	paperref:507336	paperref:507332	|	exists=EXIST:P=0.0,1.0
608240	paperref:506385	paperref:509209	|	exists=NOTEXIST:P=1.0,0.0
621158	paperref:507194	paperref:509289	|	exists=NOTEXIST:P=1.0,0.0
626048	paperref:510330	paperref:510572	|	exists=NOTEXIST:P=1.0,0.0
586692	paperref:506394	paperref:506845	|	exists=NOTEXIST:P=1.0,0.0
621625	paperref:507008	paperref:508894	|	exists=NOTEXIST:P=1.0,0.0
609740	paperref:509620	paperref:510040	|	exists=NOTEXIST:P=1.0,0.0
617456	paperref:506387	paperref:509628	|	exists=NOTEXIST:P=1.0,0.0
590800	paperref:510595	paperref:506336	|	exists=NOTEXIST:P=1.0,0.0
602024	paperref:507040	paperref:506543	|	exists=NOTEXIST:P=1.0,0.0
625288	paperref:510325	paperref:510332	|	exists=EXIST:P=0.0,1.0
600974	paperref:510277	paperref:507464	|	exists=NOTEXIST:P=1.0,0.0
599182	paperref:508086	paperref:506714	|	exists=NOTEXIST:P=1.0,0.0
623766	paperref:509412	paperref:509406	|	exists=EXIST:P=0.0,1.0
621504	paperref:508452	paperref:507617	|	exists=NOTEXIST:P=1.0,0.0
621397	paperref:507190	paperref:507193	|	exists=EXIST:P=0.0,1.0
617045	paperref:507379	paperref:509321	|	exists=NOTEXIST:P=1.0,0.0
598328	paperref:508827	paperref:506146	|	exists=NOTEXIST:P=1.0,0.0
593254	paperref:510669	paperref:506318	|
617259	paperref:508126	paperref:510286	|	exists=NOTEXIST:P=1.0,0.0
588718	paperref:510385	paperref:507785	|
584977	paperref:509207	paperref:506840	|	exists=NOTEXIST:P=1.0,0.0
610711	paperref:508057	paperref:509619	|	exists=NOTEXIST:P=1.0,0.0
584718	paperref:508634	paperref:506770	|	exists=NOTEXIST:P=1.0,0.0
592436	paperref:510591	paperref:510333	|	exists=NOTEXIST:P=1.0,0.0
591626	paperref:506927	paperref:506442	|	exists=NOTEXIST:P=1.0,0.0
612583	paperref:510049	paperref:507334	|	exists=NOTEXIST:P=1.0,0.0
592723	paperref:510883	paperref:509636	|	exists=NOTEXIST:P=1.0,0.0
626177	paperref:506597	paperref:507903	|	exists=NOTEXIST:P=1.0,0.0
596427	paperref:509454	paperref:509631	|	exists=NOTEXIST:P=1.0,0.0
616668	paperref:508897	paperref:506421	|	exists=NOTEXIST:P=1.0,0.0
587883	paperref:506918	paperref:509448	|	exists=NOTEXIST:P=1.0,0.0
630508	paperref:511031	paperref:507026	|	exists=NOTEXIST:P=1.0,0.0
618057	paperref:510051	paperref:509039	|	exists=NOTEXIST:P=1.0,0.0
608327	paperref:509290	paperref:509617	|	exists=NOTEXIST:P=1.0,0.0
587920	paperref:505872	paperref:506286	|	exists=NOTEXIST:P=1.0,0.0
595602	paperref:509659	paperref:507042	|
627675	paperref:507901	paperref:507758	|	exists=NOTEXIST:P=1.0,0.0
601307	paperref:507163	paperref:507642	|	exists=NOTEXIST:P=1.0,0.0
594021	paperref:509653	paperref:510768	|	exists=NOTEXIST:P=1.0,0.0
594536	paperref:507658	paperref:507842	|	exists=NOTEXIST:P=1.0,0.0
628335	paperref:510329	paperref:509618	|	exists=NOTEXIST:P=1.0,0.0
587911	paperref:505872	paperref:509958	|	exists=NOTEXIST:P=1.0,0.0
624518	paperref:507438	paperref:510063	|
619998	paperref:509689	paperref:509635	|	exists=NOTEXIST:P=1.0,0.0
605865	paperref:506545	paperref:506384	|	exists=NOTEXIST:P=1.0,0.0
598777	paperref:506784	paperref:507322	|	exists=NOTEXIST:P=1.0,0.0
626147	paperref:509134	paperref:507300	|	exists=NOTEXIST:P=1.0,0.0
592250	paperref:506340	paperref:506246	|	exists=NOTEXIST:P=1.0,0.0
619386	paperref:511292	paperref:511178	|	exists=NOTEXIST:P=1.0,0.0
612760	paperref:507786	paperref:510769	|	exists=NOTEXIST:P=1.0,0.0
609348	paperref:509332	paperref:510853	|	exists=NOTEXIST:P=1.0,0.0
588654	paperref:508001	paperref:508002	|	exists=EXIST:P=0.0,1.0
599845	paperref:507059	paperref:507246	|	exists=NOTEXIST:P=1.0,0.0
620143	paperref:506316	paperref:507390	|	exists=NOTEXIST:P=1.0,0.0
625120	paperref:509587	paperref:509588	|	exists=EXIST:P=0.0,1.0
599216	paperref:506010	paperref:508608	|
627716	paperref:510264	paperref:510788	|
626581	paperref:507424	paperref:506595	|
604003	paperref:506337	paperref:507816	|
608960	paperref:506977	paperref:510573	|	exists=NOTEXIST:P=1.0,0.0
594040	paperref:509653	paperref:507327	|	exists=NOTEXIST:P=1.0,0.0
609531	paperref:505812	paperref:508618	|	exists=NOTEXIST:P=1.0,0.0
585732	paperref:511261	paperref:511413	|	exists=NOTEXIST:P=1.0,0.0
602907	paperref:506335	paperref:509690	|	exists=NOTEXIST:P=1.0,0.0
